".\Activision\Rampage (Activision 1987).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "31",  "0",  "A04F9AE3",  "1",  "4",  "746491",  "69D7FCC6",  "Wildload",  
".\Activision\Rampage (Activision 1987, Hit Squad Re-release).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "8",  "0",  "3EA03FD7",  "1",  "5",  "474326",  "3D9AD474",  "Hit-Load",  
".\Activision\SDI (Activision 1988, Hit Squad Re-release).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "18",  "0",  "D36762D8",  "1",  "4",  "726358",  "8AAE883E",  "Freeload (or clone)",  
".\Activision\The Transformers (Activision 1986).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "61",  "0",  "91E11DB8",  "1",  "4",  "629135",  "0591134B",  "Novaload (ns)",  
".\Activision\Toy Bizarre (Activision 1984).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "1F523E61",  "1",  "5",  "378154",  "895DCF44",  "Virgin",  
".\Activision\Wonderboy (Activision 1986).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "22",  "0",  "4D2DDC75",  "1",  "4",  "612507",  "CDEB4E81",  "Wildload",  
".\Alligata, Rino\Blagger (Alligata 1983).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "B0EFD73E",  "1",  "5",  "367170",  "366784C8",  "CHR loader",  
".\Alligata, Rino\Blagger Goes To Hollywood (Alligata 1985).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "7",  "0",  "35E6C01C",  "1",  "5",  "532210",  "366784C8",  "CHR loader",  
".\Alligata, Rino\Bug Blaster (Alligata 1983).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "C25AB607",  "1",  "5",  "195138",  "366784C8",  "CHR loader",  
".\Alligata, Rino\Eagle Empire (Alligata 1984).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "6",  "0",  "A696804B",  "1",  "5",  "245038",  "366784C8",  "CHR loader",  
".\Alligata, Rino\Jack Charlton's Match Fishing (Alligata 1985).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "13",  "0",  "DC4D64AE",  "1",  "5",  "555979",  "366784C8",  "CHR loader",  
".\Alligata, Rino\Kettle (Alligata 1987).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "A80F80CA",  "1",  "5",  "329346",  "366784C8",  "CHR loader",  
".\Alligata, Rino\Killerwatt (Alligata 1984).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "41D46892",  "1",  "5",  "369218",  "366784C8",  "CHR loader",  
".\Alligata, Rino\Panic Planet (Alligata 1984).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "10",  "0",  "4558A624",  "1",  "5",  "267551",  "366784C8",  "CHR loader",  
".\Alligata, Rino\Pub Games (Alligata 1986).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "19",  "0",  "14340BDD",  "1",  "5",  "1814548",  "4C2B8AF0",  "n/a",  
".\Alligata, Rino\Who Dares Wins II (Alligata 1985).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "6",  "0",  "99A66A1F",  "1",  "5",  "455437",  "366784C8",  "CHR loader",  
".\Alligata, Rino\Z (Rino 1985).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "7",  "0",  "379B8EBC",  "1",  "5",  "509594",  "366784C8",  "CHR loader",  
".\Alternative\Australian Rules Football (Amateur League) (Alternative 1989).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "C95D0B8E",  "1",  "5",  "289242",  "366784C8",  "CHR loader",  
".\Alternative\Australian Rules Football (Victorian League) (Alternative 1989).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "73D8151B",  "1",  "5",  "290034",  "366784C8",  "CHR loader",  
".\Alternative\Count Duckula II (Alternative 1992).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "7",  "0",  "18C0D8E7",  "1",  "4",  "453626",  "88613263",  "Burner",  
".\Alternative\Grid Iron II (Alternative 1989).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "BA5577DA",  "1",  "5",  "253292",  "366784C8",  "CHR loader",  
".\Alternative\Huxley Pig (Alternative 1990).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "17",  "0",  "2FA86946",  "1",  "5",  "732187",  "366784C8",  "CHR loader",  
".\Alternative\Popeye II (Alternative, Kfs 1990).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "18",  "0",  "68959A3D",  "1",  "5",  "847567",  "366784C8",  "CHR loader",  
".\Alternative\Protium (Alternative 1988).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "6",  "0",  "19AA1975",  "1",  "5",  "401902",  "366784C8",  "CHR loader",  
".\Alternative\River Rescue (Alternative 1990 Re-release).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "B5026CE9",  "1",  "5",  "113922",  "366784C8",  "CHR loader",  
".\Alternative\The Rocky Horror Show (Alternative 1988).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "D63E2ADE",  "1",  "5",  "318306",  "366784C8",  "CHR loader",  
".\Alternative\Through The Trapdoor (Alternative 1988).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "6",  "0",  "285466E0",  "1",  "5",  "394350",  "366784C8",  "CHR loader",  
".\Anirog\Cybotron (Anirog 1983).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "225C6211",  "1",  "5",  "352705",  "0363E489",  "Anirog loader",  
".\Anirog\Moon Buggy (Anirog 1983).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "6B971955",  "1",  "5",  "221634",  "0363E489",  "Anirog loader",  
".\Anirog\Skramble (Anirog 1983).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "4D46020C",  "1",  "5",  "293954",  "0363E489",  "Anirog loader",  
".\Anirog\Zodiac (Anirog 1984).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "52463F8C",  "1",  "5",  "221634",  "0363E489",  "Anirog loader",  
".\Beam\Horace Goes Skiing (Beam 1984).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "5",  "0",  "792F67C7",  "1",  "5",  "309414",  "5C34F43D",  "Pavloda",  
".\Beam\Street Hassle (Beam 1987).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "8",  "0",  "E100BCBB",  "1",  "4",  "570894",  "FCE154D8",  "Freeload (or clone)",  
".\Beam\Zim Sala Bim (Beam 1984).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "9",  "0",  "194543FB",  "1",  "5",  "433776",  "5C34F43D",  "Pavloda",  
